UserId,Session,ContentIndex,FocusScalingFactor,ContextScalingFactor,Score
610,1,4,1,0.6,0.9066483
610,1,2,1,1,0.9175145
610,1,5,1,1,0.9175145
610,1,5,0.6,0.4,0.9175145
610,1,4,1,0.8,0.9434739
610,1,4,0.6,0.4,0.4955291
610,1,5,0.6,0.2,0.05281056
610,1,3,1,0.4,0.3671549
610,1,5,0.8,0.4,0.3502768
610,1,4,1,0.2,0.0759815
610,1,4,1,1,0.7526724
610,1,2,0.6,0.4,0.4219662
610,1,3,1,0.4,0.2085291
610,1,2,1,0.8,0.6512722
610,1,2,1,0.2,0.1113234
610,1,1,0.8,0.4,0.3515141
610,1,3,1,0.2,0.09618961
610,1,1,1,0.2,0.2536404
611,1,2,0.8,0.6,0.6440371
611,1,1,1,0.4,0.6440371
611,1,4,1,1,0.5018718
611,1,1,0.6,0.4,0.592709
611,1,4,1,0.2,0.4801474
611,1,1,1,1,0.4801474
611,1,4,0.8,0.2,0.4801474
611,1,5,1,1,0.7528099
611,1,2,1,0.2,0.3646016
611,1,1,0.6,0.2,0.491992
611,1,2,1,0.8,0.6098878
611,1,2,0.8,0.4,0.7139677
611,1,2,0.6,0.4,0.617171
611,1,3,1,0.8,0.7638885
611,1,3,0.6,0.4,0.6912633
611,1,1,1,0.2,0.5306003
611,1,4,1,0.4,0.6627194
611,1,5,0.6,0.2,0.4949681
611,1,3,0.8,0.4,0.6158383
611,1,5,0.8,0.6,0.6158383
611,1,2,1,0.6,0.5160329
611,1,5,1,0.6,0.7333849
611,1,3,1,0.4,0.4814734
611,1,2,0.8,0.2,0.2319515
611,1,5,1,0.2,0.2319515
611,1,4,0.6,0.4,0.6123974
611,1,5,0.6,0.4,0.6123974
611,1,2,1,0.4,0.6123974
611,1,3,1,1,0.6123974
611,1,3,1,0.2,0.2388963
611,1,3,0.8,0.2,0.2388963
611,1,1,0.8,0.4,0.4768282
611,1,2,1,1,0.4768282
611,1,1,1,0.8,0.4768282
611,1,3,1,0.6,0.7440981
611,1,2,0.8,0.6,0.6009411
611,1,4,0.8,0.6,0.6009411
611,1,2,1,0.6,0.7288992
611,1,4,0.6,0.2,0.2256402
611,1,3,0.6,0.2,0.2256402
611,1,1,0.8,0.2,0.3855473
611,1,5,1,0.4,0.6254207
611,1,4,0.8,0.4,0.6546189
611,1,5,1,0.8,0.6546189
611,1,1,0.8,0.6,0.2332588
611,1,4,0.6,0.4,0.3748456
611,1,2,0.8,0.2,0.2535781
611,1,1,0.6,0.4,0.4571557
611,1,5,0.8,0.2,0.2403418
611,1,5,0.8,0.4,0.6128073
611,1,4,1,0.6,0.6128073
611,1,3,0.8,0.6,0.7758304
611,1,1,1,0.6,0.6046253
611,1,4,1,0.8,0.4937446
611,1,2,0.6,0.2,0.3879558
612,1,1,1,0.2,0.4793007
612,1,3,1,0.4,0.516017
612,1,2,0.8,0.2,0.2659292
612,1,5,0.8,0.2,0.6975334
612,1,5,1,0.8,0.5454407
612,1,2,0.6,0.2,0.683853
612,1,1,1,0.8,0.6092403
612,1,1,0.8,0.2,0.513862
612,1,4,0.6,0.2,0.6167128
612,1,3,1,0.4,0.4136074
612,1,5,0.8,0.6,0.5878988
612,1,3,0.8,0.6,0.3381379
612,1,3,0.6,0.4,0.4840634
612,1,2,1,0.4,0.2149792
612,1,5,0.8,0.4,0.3895334
612,1,4,1,0.6,0.658434
612,1,1,1,0.6,0.5295609
612,1,1,0.8,0.4,0.6719245
612,1,4,1,0.8,0.530148
612,1,3,0.8,0.2,0.6823109
612,1,2,0.6,0.4,0.4603114
612,1,3,1,1,0.6287411
612,1,2,0.8,0.4,0.7777894
612,1,3,0.6,0.2,0.5053605
612,1,4,0.8,0.4,0.3723292
612,1,2,1,0.6,0.5806904
612,1,5,1,0.2,0.3922721
612,1,5,0.6,0.2,0.7984258
612,1,4,1,0.8,0.6337759
612,1,1,1,0.4,0.3809515
612,1,2,1,1,0.6098563
612,1,3,1,0.8,0.7810779
612,1,4,1,0.4,0.6702697
612,1,1,0.6,0.4,0.8517911
612,1,4,1,0.2,0.559257
612,1,4,1,1,0.8251871
612,1,5,1,0.6,0.9099439
612,1,2,1,0.2,0.585956
612,1,5,1,0.4,0.7745345
612,1,5,0.6,0.4,0.5268758
612,1,3,0.8,0.4,0.8322852
612,1,2,1,0.2,0.4201124
612,1,4,0.8,0.2,0.6429394
612,1,3,1,0.2,0.7994047
612,1,3,1,0.6,0.9086958
612,1,1,0.6,0.2,0.3979374
612,1,1,0.8,0.6,0.6842054
612,1,3,1,0.6,0.488286
612,1,1,0.8,0.6,0.3633243
612,1,2,1,0.8,0.6433824
612,1,1,1,1,0.4583634
612,1,2,0.8,0.6,0.7235011
612,1,4,0.8,0.6,0.5094233
612,1,4,0.6,0.4,0.6910158
612,1,5,1,1,0.4290191
613,1,4,1,0.2,0.2182075
613,1,1,1,1,0.5226898
613,1,5,0.8,0.6,0.7866192
613,1,5,1,1,0.7721344
613,1,1,0.8,0.2,0.4945353
613,1,5,1,0.2,0.7577173
613,1,1,0.6,0.4,0.5140333
613,1,4,1,0.8,0.7685717
613,1,2,1,0.8,1
613,1,3,0.6,0.2,0.7615854
613,1,4,0.8,0.2,0.4785959
613,1,3,0.6,0.4,0.7795924
613,1,3,1,0.4,0.7409681
613,1,5,1,0.6,0.4987535
613,1,1,0.8,0.4,0.765757
613,1,2,1,0.6,0.765757
613,1,1,1,0.4,0.496679
613,1,3,1,0.6,0.7628689
613,1,3,1,0.2,0.2258839
613,1,2,0.6,0.2,0
613,1,3,1,1,0.5271443
613,1,2,0.8,0.4,0.5271443
613,1,3,0.8,0.6,0.7710336
613,1,2,1,1,0.7710336
613,1,4,0.8,0.6,0.4869252
613,1,5,0.6,0.4,0.7710469
613,1,3,1,0.4,0.7710469
613,1,1,1,0.2,0.1822442
613,1,3,1,0.8,0.4831264
613,1,3,0.8,0.4,0.4831264
613,1,1,0.8,0.6,0.7536334
613,1,2,1,0.4,0.4375114
613,1,2,0.8,0.2,0.2284312
613,1,4,1,1,0.4984593
613,1,4,0.6,0.2,0.246274
613,1,4,0.6,0.4,0.705282
613,1,1,1,0.6,0.5153319
613,1,3,1,0.2,0.2875092
613,1,5,0.8,0.4,0.6362647
613,1,5,1,0.4,0.7065176
613,1,4,0.8,0.4,0.5082856
613,1,1,1,0.8,0.6177676
613,1,1,1,0.4,0.5127611
613,1,2,0.8,0.6,0.6566132
613,1,1,1,1,0.4840988
613,1,5,0.6,0.2,0.238196
613,1,1,0.6,0.2,0.3573331
613,1,3,0.8,0.2,0.4446667
613,1,5,1,0.8,0.8096668
613,1,4,1,0.6,0.6185727
613,1,4,1,0.4,0.4583949
613,1,2,1,0.2,0.1231724
613,1,4,1,0.4,0.4780178
613,1,5,0.8,0.2,0.008882741
613,1,2,0.6,0.4,0.8328264
614,1,1,1,0.6,0.7675576
614,1,5,0.8,0.6,1
614,1,3,1,0.8,0.7664372
614,1,4,1,0.6,0.6352777
614,1,1,1,0.4,0.8930742
614,1,3,0.8,0.2,0.494868
614,1,5,0.6,0.4,0.7744221
614,1,1,0.8,0.6,0.8726117
614,1,5,1,0.8,0.6303261
614,1,4,1,0.4,0.6809835
614,1,5,0.6,0.2,0.3768995
614,1,3,1,0.6,0.5129758
614,1,4,0.8,0.2,0.6093215
614,1,1,1,1,0.7846892
614,1,1,0.8,0.6,0.9192731
614,1,1,1,0.8,0.6532621
614,1,3,1,0.2,0.4336199
614,1,3,0.8,0.4,0.6068709
614,1,2,1,0.8,0.8753264
614,1,2,0.8,0.2,0.4059938
614,1,2,1,0.4,0.6693391
614,1,3,1,1,0.8572235
614,1,3,0.6,0.4,0.7744472
614,1,2,1,1,0.8684962
614,1,2,1,0.6,0.6497356
614,1,5,0.8,0.2,0.3067134
614,1,3,0.6,0.2,0.3773734
614,1,5,1,0.2,0.2309257
614,1,2,0.6,0.4,0.608866
614,1,4,1,0.8,0.7401801
614,1,4,0.6,0.4,0.5104352
